00001 A00     0 Cholera                                                      Cholera
01036 B510    1 Plasmodium vivax malaria with rupture of spleen              Plasmodium vivax malaria with rupture of spleen
01037 B518    1 Plasmodium vivax malaria with other complications            Plasmodium vivax malaria with other complications
01038 B519    1 Plasmodium vivax malaria without complication                Plasmodium vivax malaria without complication
01039 B52     0 Plasmodium malariae malaria                                  Plasmodium malariae malaria
01040 B520    1 Plasmodium malariae malaria with nephropathy                 Plasmodium malariae malaria with nephropathy
01041 B528    1 Plasmodium malariae malaria with other complications         Plasmodium malariae malaria with other complications
01042 B529    1 Plasmodium malariae malaria without complication             Plasmodium malariae malaria without complication
01043 B53     0 Other specified malaria                                      Other specified malaria
01044 B530    1 Plasmodium ovale malaria                                     Plasmodium ovale malaria
01045 B531    1 Malaria due to simian plasmodia                              Malaria due to simian plasmodia
01046 B538    1 Other malaria, not elsewhere classified                      Other malaria, not elsewhere classified
01047 B54     1 Unspecified malaria                                          Unspecified malaria
01048 B55     0 Leishmaniasis                                                Leishmaniasis
01049 B550    1 Visceral leishmaniasis                                       Visceral leishmaniasis
01050 B551    1 Cutaneous leishmaniasis                                      Cutaneous leishmaniasis
01051 B552    1 Mucocutaneous leishmaniasis                                  Mucocutaneous leishmaniasis
01052 B559    1 Leishmaniasis, unspecified                                   Leishmaniasis, unspecified
01053 B56     0 African trypanosomiasis                                      African trypanosomiasis
01054 B560    1 Gambiense trypanosomiasis                                    Gambiense trypanosomiasis
01055 B561    1 Rhodesiense trypanosomiasis                                  Rhodesiense trypanosomiasis
01056 B569    1 African trypanosomiasis, unspecified                         African trypanosomiasis, unspecified
01057 B57     0 Chagas' disease                                              Chagas' disease
01058 B570    1 Acute Chagas' disease with heart involvement                 Acute Chagas' disease with heart involvement
01059 B571    1 Acute Chagas' disease without heart involvement              Acute Chagas' disease without heart involvement
01060 B572    1 Chagas' disease (chronic) with heart involvement             Chagas' disease (chronic) with heart involvement
01061 B573    0 Chagas' disease (chronic) with digestive system involvement  Chagas' disease (chronic) with digestive system involvement
01062 B5730   1 Chagas' disease with digestive system involvement, unsp      Chagas' disease with digestive system involvement, unspecified
01063 B5731   1 Megaesophagus in Chagas' disease                             Megaesophagus in Chagas' disease
01064 B5732   1 Megacolon in Chagas' disease                                 Megacolon in Chagas' disease
01065 B5739   1 Other digestive system involvement in Chagas' disease        Other digestive system involvement in Chagas' disease
01066 B574    0 Chagas' disease (chronic) with nervous system involvement    Chagas' disease (chronic) with nervous system involvement
01067 B5740   1 Chagas' disease with nervous system involvement, unspecified Chagas' disease with nervous system involvement, unspecified
01068 B5741   1 Meningitis in Chagas' disease                                Meningitis in Chagas' disease
01069 B5742   1 Meningoencephalitis in Chagas' disease                       Meningoencephalitis in Chagas' disease
01070 B5749   1 Other nervous system involvement in Chagas' disease          Other nervous system involvement in Chagas' disease
01071 B575    1 Chagas' disease (chronic) with other organ involvement       Chagas' disease (chronic) with other organ involvement
01072 B58     0 Toxoplasmosis                                                Toxoplasmosis
